label,height,weight
normal,188,71
fat,161,68
thin,178,52
fat,136,63
normal,145,52
fat,123,45
fat,135,59
thin,169,45
fat,120,46
fat,154,75
fat,136,60
thin,158,46
normal,132,41
fat,152,59
fat,131,53
normal,165,59
thin,188,55
fat,129,43
fat,122,61
normal,197,80
fat,142,72
thin,168,38
thin,157,41
fat,153,67
thin,168,47
normal,127,39
normal,148,47
thin,160,40
thin,179,59
normal,186,73
fat,141,54
thin,180,54
normal,161,58
fat,125,57
fat,176,78
fat,163,78
fat,125,70
normal,170,64
normal,190,74
fat,131,65
fat,148,60
fat,135,68
thin,183,61
thin,168,41
thin,180,58
thin,184,49
fat,139,59
thin,156,36
normal,178,62
normal,183,70
thin,179,40
thin,190,40
thin,180,37
thin,189,40
thin,182,61
fat,146,71
thin,170,40
fat,144,68
thin,193,48
thin,191,54
fat,146,63
thin,198,63
fat,140,59
normal,193,74
thin,175,40
fat,175,77
thin,166,43
fat,174,76
normal,160,57
fat,168,75
thin,173,48
normal,183,63
fat,122,75
normal,149,42
fat,126,70
normal,182,69
thin,195,68
normal,170,67
fat,165,79
fat,168,72
fat,168,77
normal,199,77
fat,167,74
fat,146,75
fat,122,38
thin,183,39
fat,147,75
fat,167,78
fat,131,59
thin,183,61
thin,183,55
thin,180,41
normal,177,76
fat,150,78
normal,173,61
fat,151,60
normal,195,79
fat,121,79
thin,180,35
thin,176,57
fat,132,63
thin,158,39
thin,192,58
normal,154,50
thin,186,43
fat,165,78
normal,180,80
thin,181,44
normal,197,73
fat,141,79
fat,173,76
thin,172,48
thin,149,35
fat,140,53
thin,187,35
fat,144,68
normal,187,77
normal,173,63
normal,160,55
thin,155,39
fat,150,60
fat,136,47
fat,149,73
normal,161,61
fat,157,65
fat,137,54
fat,163,71
thin,164,39
thin,166,46
normal,173,56
thin,192,66
fat,142,58
fat,133,55
thin,187,35
fat,128,68
fat,155,79
fat,130,61
thin,187,52
thin,176,53
thin,179,52
normal,154,44
fat,121,45
normal,132,38
thin,192,47
fat,128,60
normal,174,57
normal,158,61
fat,129,51
thin,181,53
thin,175,55
thin,195,42
normal,158,48
thin,185,56
thin,163,47
normal,185,64
fat,131,62
fat,134,80
fat,134,77
thin,139,35
fat,148,71
fat,136,56
fat,128,63
fat,123,60
fat,122,53
normal,194,80
thin,178,43
normal,147,48
fat,126,69
thin,199,59
thin,177,54
normal,164,64
normal,166,60
fat,127,71
normal,147,45
normal,178,69
thin,186,48
normal,136,40
fat,151,76
normal,152,56
normal,170,63
normal,149,46
thin,185,44
normal,151,57
thin,199,52
fat,152,66
normal,179,62
thin,183,38
fat,130,80
thin,199,53
thin,147,38
thin,198,72
fat,144,54
fat,125,47
normal,153,45
normal,133,41
fat,157,75
thin,195,54
fat,137,48
normal,169,66
fat,141,64
normal,142,46
thin,150,35
fat,139,55
normal,152,56
fat,156,73
normal,164,55
fat,136,61
normal,183,73
fat,150,63
normal,136,40
normal,138,40
fat,149,65
fat,124,55
thin,159,41
fat,138,77
normal,153,44
normal,145,48
normal,166,64
fat,133,53
fat,139,66
fat,130,77
normal,140,44
thin,169,43
thin,188,60
normal,188,74
normal,163,50
thin,184,55
normal,162,61
normal,179,78
normal,143,49
normal,125,36
normal,143,46
thin,160,45
fat,125,45
normal,144,40
normal,188,70
thin,182,38
fat,135,80
fat,131,63
fat,132,79
fat,149,61
fat,134,76
fat,126,44
fat,120,79
thin,191,54
normal,130,36
thin,160,37
thin,194,39
normal,183,76
normal,184,65
normal,179,77
fat,120,50
normal,139,41
normal,184,79
fat,141,77
fat,127,64
normal,163,63
fat,128,43
thin,179,36
normal,172,58
thin,200,47
normal,165,60
thin,159,45
fat,144,59
normal,187,77
thin,181,54
fat,135,67
fat,145,60
normal,148,41
fat,136,70
thin,196,71
normal,173,62
fat,131,71
normal,168,68
thin,197,35
thin,178,35
thin,191,57
fat,125,69
fat,151,59
fat,143,75
fat,134,49
thin,186,64
normal,170,60
normal,156,47
fat,158,66
fat,130,62
normal,188,69
thin,191,37
fat,159,66
fat,170,74
fat,140,61
fat,138,56
normal,158,52
normal,155,49
normal,180,73
thin,198,39
thin,174,37
fat,149,67
normal,182,62
thin,194,48
fat,142,52
thin,194,69
fat,151,80
thin,198,59
fat,151,69
fat,152,60
thin,198,52
normal,157,51
thin,194,46
fat,151,72
normal,182,64
thin,195,47
thin,170,39
fat,175,79
fat,141,75
normal,192,75
fat,141,53
fat,126,78
fat,142,76
normal,182,69
fat,141,65
thin,167,50
thin,172,41
thin,168,52
thin,184,42
normal,197,77
fat,134,53
fat,128,64
normal,141,41
normal,186,68
fat,126,69
normal,179,74
thin,180,58
thin,146,36
normal,150,51
normal,163,55
fat,137,70
fat,139,52
thin,199,47
fat,151,78
thin,198,41
fat,136,74
thin,178,57
fat,158,78
fat,139,60
thin,155,39
fat,127,75
normal,168,68
normal,141,48
thin,170,42
fat,124,44
fat,132,64
fat,132,44
normal,164,59
fat,164,73
thin,169,47
normal,192,76
thin,181,39
fat,125,55
fat,133,79
fat,148,60
thin,188,49
normal,158,56
normal,183,79
thin,196,60
normal,172,58
fat,135,71
normal,172,71
fat,145,65
fat,139,59
normal,190,68
normal,195,73
fat,124,67
thin,143,37
fat,120,54
thin,175,46
normal,165,59
thin,197,64
normal,183,75
fat,143,52
normal,128,40
thin,178,50
thin,200,55
fat,151,70
thin,167,50
fat,152,60
fat,134,71
fat,125,63
fat,134,59
thin,173,49
thin,187,44
fat,155,61
thin,170,53
fat,150,58
normal,194,72
normal,185,72
thin,181,51
thin,196,59
normal,182,62
normal,182,77
thin,166,35
normal,163,55
fat,159,74
normal,141,43
fat,148,78
normal,190,74
thin,200,69
fat,136,73
fat,158,80
thin,175,49
fat,120,51
fat,124,47
thin,188,65
fat,151,78
thin,196,52
fat,120,45
fat,120,65
thin,184,58
thin,146,39
thin,162,35
thin,149,40
normal,172,65
normal,137,38
fat,125,50
fat,177,80
thin,180,57
thin,200,35
thin,185,61
fat,145,62
thin,189,35
normal,130,42
thin,192,36
thin,191,57
thin,188,38
fat,124,79
normal,185,64
thin,160,37
thin,168,46
thin,184,57
normal,123,35
normal,176,72
thin,163,43
normal,159,57
fat,160,71
thin,195,43
fat,142,51
fat,129,62
normal,190,79
normal,143,41
fat,152,67
fat,131,46
normal,189,72
fat,144,76
fat,121,77
thin,162,42
thin,176,43
thin,181,42
fat,178,80
thin,174,43
fat,160,76
normal,178,72
normal,194,80
fat,160,70
fat,140,76
thin,143,37
fat,123,41
normal,142,50
fat,122,76
fat,146,69
thin,192,45
normal,174,57
thin,184,41
fat,148,67
fat,158,69
thin,140,35
normal,184,79
normal,191,70
normal,175,74
fat,142,67
fat,126,50
fat,122,77
fat,132,48
fat,136,74
normal,137,43
fat,154,74
thin,188,61
thin,173,47
thin,191,39
normal,181,77
thin,169,50
normal,169,53
fat,121,63
fat,150,60
normal,142,44
normal,194,75
fat,123,69
normal,146,42
thin,172,45
normal,177,71
normal,184,68
fat,132,78
fat,125,57
normal,195,76
normal,190,70
thin,178,57
fat,144,57
normal,175,74
normal,193,71
normal,128,37
normal,151,43
normal,186,75
fat,128,58
fat,162,75
thin,192,37
normal,182,65
thin,192,59
thin,194,66
normal,129,40
normal,139,42
normal,172,71
thin,191,50
thin,191,42
normal,135,35
thin,190,49
normal,140,39
normal,145,43
thin,191,56
thin,187,49
thin,189,35
thin,171,45
thin,139,35
normal,157,49
fat,124,66
thin,155,42
fat,138,54
normal,133,35
normal,163,61
fat,157,69
normal,174,61
normal,193,72
normal,189,73
normal,193,73
normal,146,40
normal,176,70
thin,191,63
normal,178,67
normal,174,60
normal,130,35
normal,168,68
thin,175,37
thin,184,53
fat,125,68
fat,146,64
normal,141,40
normal,198,78
fat,146,58
fat,156,80
thin,182,41
fat,164,73
thin,185,54
thin,189,35
fat,134,49
thin,185,55
fat,145,71
fat,161,66
normal,147,48
normal,186,70
thin,168,40
fat,147,55
normal,162,54
normal,181,70
normal,159,54
thin,187,46
thin,193,38
thin,194,61
thin,191,61
thin,181,56
fat,141,73
fat,130,47
fat,120,79
normal,192,78
thin,155,41
normal,149,46
fat,134,45
fat,130,73
thin,184,50
fat,120,41
normal,177,68
fat,129,61
thin,191,43
thin,199,46
fat,126,70
fat,124,42
normal,158,48
thin,192,54
fat,124,59
thin,199,73
normal,157,58
fat,126,68
normal,180,65
thin,195,43
fat,127,54
thin,176,54
fat,159,66
thin,195,54
thin,178,49
thin,179,44
normal,147,53
fat,135,60
normal,145,39
thin,183,47
normal,169,63
thin,199,64
thin,175,38
thin,160,37
normal,162,52
thin,172,39
thin,163,44
fat,160,77
thin,173,35
thin,195,54
thin,156,42
thin,184,56
normal,178,70
thin,200,56
thin,143,35
normal,145,49
normal,151,52
thin,183,56
normal,167,66
fat,126,40
fat,129,68
thin,189,46
normal,180,64
normal,154,55
normal,139,42
fat,133,77
thin,158,39
normal,136,39
thin,145,37
normal,142,40
fat,138,56
thin,142,35
normal,177,61
thin,155,44
thin,198,40
fat,160,80
fat,152,59
fat,122,51
thin,193,67
normal,171,57
thin,196,66
fat,150,66
thin,168,50
normal,126,36
fat,159,74
thin,189,57
thin,185,51
thin,198,72
fat,149,74
normal,179,72
fat,144,68
thin,198,68
fat,145,60
